id,nume,lat,lng
603,Ologeni,44.7309363,25.9498586
604,Pioresti,44.7626675,26.0180369
605,Podu Valeni,44.7497374,25.9769863
606,Poienarii Vechi,44.7525226,26.0621035
607,Poienarii-Rali,44.7481467,26.0470275
608,Tatarai,44.7349404,25.9283
609,Posesti,45.2704,26.1479
610,Bodesti,45.2638348,26.1598479
611,Merdeala,45.25523,26.1399455
612,Nucsoara de Jos,45.2859655,26.1028844
613,Nucsoara de Sus,45.2924898,26.117247
614,Posestii-Pamanteni,45.2710331,26.1509794
615,Posestii-Ungureni,45.2765172,26.1414212
616,Tarlesti,45.2546749,26.1996666
617,Valea Plopului,45.2911271,26.1637422
618,Valea Screzii,45.2937308,26.1812586
619,Valea Stupinii,45.2645174,26.136615
620,Predeal-Sarari,45.1942913,26.1085171
621,Bobicesti,45.1897997,26.0961691
622,Poienile,45.17474,26.1141836
623,Predeal,45.1942913,26.1085171
624,Sarari,45.1981355,26.1311684
625,Saratel,45.1762516,26.0977915
626,Tulburea,45.2066337,26.0888186
627,Tulburea-Valeni,45.2124476,26.1034571
628,Vitioara de Sus,45.1720692,26.0867459
629,Zambroaia,45.1987815,26.1208689
630,Provita de Jos,45.116667,25.65
631,Draganeasa,45.1012253,25.6781661
632,Piatra (Provita de Jos),45.1121956,25.6818321
633,Provita de Sus,45.1332891,25.6381742
634,Izvoru,45.1545783,25.630084
635,Plaiu (Provita de Sus),45.2175063,25.5890491
636,Valea Bradului,45.1618425,25.6154117
637,Puchenii Mari,44.816667,26.083333
638,Miroslavesti,44.8053234,26.08725
639,Moara,44.8336054,26.070669
640,Odaile,44.8223509,26.0557253
641,Pietrosani,44.8323166,26.1038533
642,Puchenii Mici,44.8274447,26.0577563
643,Puchenii-Mosneni,44.8108845,26.0848272
644,Rafov,44.8700459,26.1300112
645,Antofiloaia,44.8625267,26.1403783
646,Buchilasi,44.8746555,26.1429165
647,Buda (Rafov),44.8372712,26.1697942
648,Goga,44.889045,26.1387928
649,Malaiesti,44.8696823,26.1188111
650,Moara Domneasca,44.8563999,26.1501377
651,Palanca,44.8148035,26.1979739
652,Sicrita,44.8386798,26.1918858
653,Salcia,45.1859981,26.3153387
654,Salciile,44.816262,26.4910256
655,Sangeru,45.133333,26.266667
656,Butuci,45.1581995,26.3845507
657,Miresu Mare,45.1335945,26.3751041
658,Miresu Mic,45.1467075,26.3651746
659,Piatra Mica,45.1643221,26.3332721
660,Tisa,45.1332281,26.3209337
